Id,Name,Runtime,Accurarcy,Activation function type,Batch Normalisation,Weight decay rate,Momentum rate,Dropout rate,Learning rate,np.argmax
1,./config/8987.json,2.3,89.87,tanh,True,0.0007,0.9,0.95,0.11,44
2,./config/dropout_05.json,0.5,85.49,tanh,True,0.0007,0.9,0.5,0.11,9
3,./config/no_momentum.json,8.6,89.38000000000001,tanh,True,0.0007,0,0.95,0.11,198
4,./config/no_weigh_decay.json,0.8,88.63,tanh,True,0,0.9,0.95,0.11,16
5,./config/batch_size_60000.json,2.2,89.87,tanh,True,0.0007,0.9,0.95,0.11,44
6,./config/8987.json,2.3,89.87,tanh,True,0.0007,0.9,0.95,0.11,44
7,./config/8972.json,2.7,89.7,tanh,True,0.0007,0.9,1,0.05,54
8,./config/8975.json,3.6,89.68,tanh,True,0.0007,0.92,1,0.05,66
9,./config/8932.json,10.8,89.32,sigmoid,True,0.0007,0.9,0.95,0.11,282
10,./config/8995.json,17.2,89.95,tanh,True,0.0007,0.9,0.5,0.11,158
11,./config/8987.json,2.2,89.87,tanh,True,0.0007,0.9,0.95,0.11,44
